FN (N/m)	AA (deg)	MS	LA (deg)	CA (deg)	TWD (mm)	BWD (mm)	SWD (mm)
14	2	0.1698	33.58	23.69	2.03	3.34	6.14
16	2	0.1775	34.57	19.22	1.86	3.16	5.99
18	2	0.185	35.53	15.12	1.68	2.99	5.84
20	2	0.1926	36.47	11.37	1.52	2.82	5.7
25	2	0.2098	38.51	3.67	1.18	2.48	5.41
30	2	0.2274	40.33	0.45	0.92	2.2	5.18
35	2	0.243	41.84	0	0.74	2	5.02
40	2	0.2541	42.97	0	0.59	1.84	4.89
45	2	0.2621	44.04	0	0.48	1.72	4.8
50	2	0.2698	45.05	0	0.38	1.61	4.72
55	2	0.2774	46.02	0	0.29	1.52	4.65
60	2	0.2848	46.98	0	0.21	1.43	4.58
5	4	0.108	23.31	58.46	3.14	4.3	6.72
6	4	0.124	26.6	52.05	2.9	4.09	6.55
7	4	0.1381	29.13	42.25	2.6	3.79	6.34
8	4	0.148	30.6	35.86	2.39	3.58	6.17
9	4	0.1534	31.36	32.42	2.27	3.47	6.07
10	4	0.1579	31.96	29.55	2.17	3.37	5.98
12	4	0.1659	33.03	24.47	1.98	3.18	5.82
14	4	0.1743	34.12	19.54	1.79	2.99	5.66
16	4	0.1824	35.15	15.05	1.6	2.79	5.49
18	4	0.1904	36.16	11.04	1.43	2.62	5.34
20	4	0.1984	37.11	7.41	1.27	2.46	5.2
25	4	0.2167	39.16	1.3	0.94	2.12	4.91
30	4	0.2337	40.87	0	0.72	1.87	4.72
35	4	0.2504	42.43	0	0.53	1.66	4.55
40	4	0.2593	43.6	0	0.41	1.53	4.44
45	4	0.2675	44.68	0	0.3	1.41	4.35
50	4	0.2756	45.72	0	0.21	1.31	4.28
55	4	0.2815	46.64	0	0.16	1.26	4.25
60	4	0.2857	47.43	0	0.15	1.24	4.25
5	6	0.1063	22.98	56.87	3.05	4.11	6.39
6	6	0.1236	26.52	50.34	2.78	3.89	6.2
7	6	0.1376	29.05	40.56	2.48	3.57	5.97
8	6	0.1498	30.83	32.83	2.21	3.31	5.75
9	6	0.1573	31.83	28.28	2.05	3.14	5.61
10	6	0.1613	32.38	25.69	1.95	3.05	5.53
12	6	0.1704	33.58	20.21	1.74	2.83	5.34
14	6	0.1798	34.78	15.04	1.52	2.61	5.15
16	6	0.1881	35.82	10.8	1.34	2.42	4.99
18	6	0.1969	36.86	6.81	1.16	2.24	4.83
20	6	0.205	37.81	3.31	1	2.07	4.69
25	6	0.2238	39.81	0.19	0.72	1.77	4.43
30	6	0.2429	41.61	0	0.5	1.52	4.24
35	6	0.2555	43.03	0	0.35	1.35	4.1
40	6	0.2647	44.24	0	0.23	1.22	4
45	6	0.2719	45.3	0	0.16	1.15	3.95
50	6	0.277	46.27	0	0.15	1.13	3.95
55	6	0.2827	47.32	0	0.13	1.1	3.95
60	6	0.2888	48.16	0	0.12	1.08	3.94
5	8	0.1032	22.33	55.67	2.99	3.95	6.08
6	8	0.1219	26.19	49.57	2.7	3.71	5.87
7	8	0.1356	28.72	39.87	2.39	3.38	5.63
8	8	0.15	30.86	30.7	2.07	3.06	5.36
9	8	0.1613	32.35	24.07	1.82	2.81	5.14
10	8	0.1664	33.03	21.01	1.69	2.68	5.03
12	8	0.1762	34.29	15.46	1.46	2.45	4.83
14	8	0.1858	35.48	10.57	1.25	2.23	4.64
16	8	0.1951	36.61	6.29	1.06	2.03	4.47
18	8	0.2038	37.61	2.78	0.89	1.85	4.31
20	8	0.2124	38.53	0.97	0.76	1.71	4.19
25	8	0.234	40.74	0	0.48	1.4	3.94
30	8	0.2512	42.42	0	0.3	1.19	3.77
35	8	0.2613	43.72	0	0.17	1.04	3.65
40	8	0.2677	44.87	0	0.15	1.02	3.65
45	8	0.2732	45.96	0	0.14	1	3.65
50	8	0.2801	46.97	0	0.12	0.97	3.65
55	8	0.2882	48.08	0	0.11	0.94	3.65
60	8	0.2965	49.23	0	0.1	0.91	3.64
5	10	0.1058	22.86	53.02	2.84	3.72	5.71
6	10	0.1236	26.52	46.35	2.54	3.46	5.49
7	10	0.1376	29.05	36.57	2.21	3.11	5.22
8	10	0.1524	31.18	27.35	1.87	2.77	4.93
9	10	0.165	32.8	20.1	1.59	2.48	4.68
10	10	0.171	33.58	16.7	1.44	2.33	4.55
12	10	0.1829	35.05	10.61	1.18	2.05	4.31
14	10	0.1932	36.3	5.84	0.97	1.83	4.11
16	10	0.2028	37.42	2.25	0.78	1.64	3.94
18	10	0.212	38.43	0.54	0.64	1.48	3.81
20	10	0.2212	39.35	0	0.52	1.35	3.7
25	10	0.2435	41.45	0	0.28	1.06	3.47
30	10	0.2558	43.11	0	0.16	0.93	3.37
35	10	0.2622	44.25	0	0.15	0.9	3.37
40	10	0.2694	45.56	0	0.13	0.88	3.37
45	10	0.2789	46.82	0	0.12	0.84	3.36
50	10	0.2885	48.12	0.28	0.1	0.81	3.35
55	10	0.2979	49.35	0.98	0.09	0.78	3.35
60	10	0.3075	50.63	2.14	0.08	0.74	3.34
5	12	0.1055	22.8	51.1	2.74	3.53	5.38
6	12	0.1236	26.51	44.38	2.42	3.25	5.13
7	12	0.1376	29.04	34.6	2.08	2.88	4.85
8	12	0.1538	31.36	24.56	1.7	2.5	4.52
9	12	0.1698	33.41	15.66	1.33	2.11	4.18
10	12	0.1784	34.46	11.32	1.14	1.91	4.01
12	12	0.1906	35.94	5.63	0.88	1.65	3.77
14	12	0.2018	37.23	1.7	0.67	1.42	3.58
16	12	0.2141	38.48	0.17	0.5	1.23	3.41
18	12	0.2222	39.39	0	0.39	1.1	3.31
20	12	0.2315	40.3	0	0.28	0.98	3.21
25	12	0.2499	42.38	0	0.17	0.82	3.1
30	12	0.2594	44.06	0	0.15	0.79	3.1
35	12	0.2671	45.3	0.1	0.13	0.76	3.09
40	12	0.2783	46.76	0.76	0.11	0.72	3.08
45	12	0.2903	48.33	2.15	0.1	0.68	3.07
50	12	0.3006	49.69	3.79	0.08	0.64	3.06
55	12	0.312	51.19	5.69	0.07	0.59	3.04
60	12	0.3234	52.83	7.72	0.05	0.55	3.03
